"View all";"View all"
"Sorry! Maximum number of allowed experiences is: %s experience(s)";"Sorry! Maximum number of allowed experiences is: %s experience(s)"
"ADMIN_ACTIVITY_TYPE_COMMENT_EXPERIENCE";"When a user (subject) comments on another user's (object) experience entries."
"ADMIN_ACTIVITY_TYPE_LIKE_EXPERIENCE";"When a user (subject) likes another user's (object) experience entries."
"ADMIN_ACTIVITY_TYPE_EXPERIENCE_NEW";"When a user (subject) creates a new experience entry."
"ADMIN_ACTIVITY_TYPE_EXPERIENCE_IMPORT";"When a user (subject) import a new experience entry."

"EXPERIENCE_IMPORT_DESCRIPTION";"If you have posts in another system you can import those into this site."
"System";"System"
"Choose a system to import.";"Choose a system to import."
"File XML";"File XML"
"Choose a file XML to import.";"Choose a file XML to import."
"XML File URL";"XML File URL"
FILE_XML_INPUT_DESCRIPTION";"Insert the URL of the XML File."
"Username";"Username"
"USERNAME_DISCRIPTION";"Original Tumblr experience name [Username.tumblr.com] not your email address or custom domain]"
"Import Experiences";"Import Experiences"
"WordPress";"WordPress"
"Experienceger";"Experienceger"
"Tumblr";"Tumblr"
"URL";"URL"
"Import error or no entry was gotten!";"Import error or no entry was gotten!"
"Please choose a file XML, enter a username or add an URL!";"Please choose a file XML	 enter a username or add an URL!"
"The URL has already been used. Please choose another one.";"The URL has already been used. Please choose another one."
"The URL must have XML extension and not empty.";"The URL must have XML extension and not empty."
"Username does not exist!";"Username does not exist!"
"Search experiences...";"Search experiences..."
"Most Commented";"Most Commented"
"Everyone's Experiences";"Everyone's Experiences"
"Only My Friends' Experiences";"Only My Friends' Experiences"
"Top Experiencegers";"Top Experiencegers"
"New Experiences";"New Experiences"
"Top Experiences";"Top Experiences"
"Most Viewed Experiences";"Most Viewed Experiences"
"Most Commented Experiences";"Most Commented Experiences"
"Featured Experiences";"Featured Experiences"
"By %1$s";"By %1$s"
"Statistic";"Statistic"
"Profile Photo";"Profile Photo"
"%s view";"%s view";"%s views"
"Other Experiences";"Other Experiences"
"Related Experiences";"Related Experiences"
"Tags: ";"Tags: "

# mail templates

# notify_admin_experience_moderation
