# notify_ynmember_shared
"_EMAIL_NOTIFY_YNMEMBER_SHARED_TITLE";"Member - Share"
"_EMAIL_NOTIFY_YNMEMBER_SHARED_DESCRIPTION";"When someone has shared a member."
"_EMAIL_NOTIFY_YNMEMBER_SHARED_SUBJECT";"Share Notification"
"_EMAIL_NOTIFY_YNMEMBER_SHARED_BODY";"[header]

[sender_title] has shared you on http://[host]

[footer]"

# notify_ynmember_rated
"_EMAIL_NOTIFY_YNMEMBER_RATED_TITLE";"Member - Review"
"_EMAIL_NOTIFY_YNMEMBER_RATED_DESCRIPTION";"When someone has reviewed a member."
"_EMAIL_NOTIFY_YNMEMBER_RATED_SUBJECT";"Review Notification"
"_EMAIL_NOTIFY_YNMEMBER_RATED_BODY";"[header]

[sender_title] has reviewed you on http://[host]

[footer]"

# notify_ynmember_suggested
"_EMAIL_NOTIFY_YNMEMBER_SUGGESTED_TITLE";"Member - Suggest friends"
"_EMAIL_NOTIFY_YNMEMBER_SUGGESTED_DESCRIPTION";"When someone has suggested friends to a member."
"_EMAIL_NOTIFY_YNMEMBER_SUGGESTED_SUBJECT";"Suggest Friends Notification"
"_EMAIL_NOTIFY_YNMEMBER_SUGGESTED_BODY";"[header]

[sender_title] has suggested friends to you on http://[host]

[footer]"

# notify_ynmember_notification_status
"_EMAIL_NOTIFY_YNMEMBER_NOTIFICATION_STATUS_TITLE";"Member - Following Member Post on Feed"
"_EMAIL_NOTIFY_YNMEMBER_NOTIFICATION_STATUS_DESCRIPTION";"When following member has posted something on activity feed."
"_EMAIL_NOTIFY_YNMEMBER_NOTIFICATION_STATUS_SUBJECT";"Following Notification"
"_EMAIL_NOTIFY_YNMEMBER_NOTIFICATION_STATUS_BODY";"[header]

The following member [sender_title] has posted something on activity feed on http://[host]

[footer]"

# notify_ynmember_notification_post
"_EMAIL_NOTIFY_YNMEMBER_NOTIFICATION_POST_TITLE";"Member - Following Member Post on Feed"
"_EMAIL_NOTIFY_YNMEMBER_NOTIFICATION_POST_DESCRIPTION";"When following member has posted something on member profile page."
"_EMAIL_NOTIFY_YNMEMBER_NOTIFICATION_POST_SUBJECT";"Following Notification"
"_EMAIL_NOTIFY_YNMEMBER_NOTIFICATION_POST_BODY";"[header]

The following member [sender_title] has posted something on [object_title] profile page on http://[host][object_link]

[footer]"

# notify_ynmember_notification_join
"_EMAIL_NOTIFY_YNMEMBER_NOTIFICATION_JOIN_TITLE";"Member - Following Member Join"
"_EMAIL_NOTIFY_YNMEMBER_NOTIFICATION_JOIN_DESCRIPTION";"When following member has joined something."
"_EMAIL_NOTIFY_YNMEMBER_NOTIFICATION_JOIN_SUBJECT";"Following Notification"
"_EMAIL_NOTIFY_YNMEMBER_NOTIFICATION_JOIN_BODY";"[header]

The following member [sender_title] has joined something on [object_title] on http://[host][object_link]

[footer]"

# notify_ynmember_notification_friends
"_EMAIL_NOTIFY_YNMEMBER_NOTIFICATION_FRIENDS_TITLE";"Member - Following Member Make Friends"
"_EMAIL_NOTIFY_YNMEMBER_NOTIFICATION_FRIENDS_DESCRIPTION";"When following member is now friend with someone."
"_EMAIL_NOTIFY_YNMEMBER_NOTIFICATION_FRIENDS_SUBJECT";"Following Notification"
"_EMAIL_NOTIFY_YNMEMBER_NOTIFICATION_FRIENDS_BODY";"[header]

The following member [sender_title] is now friend with [object_title] on http://[host][object_link]

[footer]"

# notify_ynmember_notification_create
"_EMAIL_NOTIFY_YNMEMBER_NOTIFICATION_CREATE_TITLE";"Member - Following Member Create Item"
"_EMAIL_NOTIFY_YNMEMBER_NOTIFICATION_CREATE_DESCRIPTION";"When following member has created a item."
"_EMAIL_NOTIFY_YNMEMBER_NOTIFICATION_CREATE_SUBJECT";"Following Notification"
"_EMAIL_NOTIFY_YNMEMBER_NOTIFICATION_CREATE_BODY";"[header]

The following member [sender_title] has created a [object_title] on http://[host][object_link]

[footer]"

# notify_ynmember_notification_linkage
"_EMAIL_NOTIFY_YNMEMBER_NOTIFICATION_LINKAGE_TITLE";"Member - Following Member Update Relationship"
"_EMAIL_NOTIFY_YNMEMBER_NOTIFICATION_LINKAGE_DESCRIPTION";"When following member has updated relationship."
"_EMAIL_NOTIFY_YNMEMBER_NOTIFICATION_LINKAGE_SUBJECT";"Following Notification"
"_EMAIL_NOTIFY_YNMEMBER_NOTIFICATION_LINKAGE_BODY";"[header]

The following member [sender_title] has added new relationship with you on http://[host]

[footer]"

# notify_ynmember_notification_change_relationship
"_EMAIL_NOTIFY_YNMEMBER_NOTIFICATION_CHANGE_RELATIONSHIP_TITLE";"Member - Following Member Change Relationship"
"_EMAIL_NOTIFY_YNMEMBER_NOTIFICATION_CHANGE_RELATIONSHIP_DESCRIPTION";"When following member has changed relationship."
"_EMAIL_NOTIFY_YNMEMBER_NOTIFICATION_CHANGE_RELATIONSHIP_SUBJECT";"Following Notification"
"_EMAIL_NOTIFY_YNMEMBER_NOTIFICATION_CHANGE_RELATIONSHIP_BODY";"[header]

The following member [sender_title] has changed relationship on http://[host]

[footer]"

"View Resume";"View Resume"
"Member Type:";"Member Type:"
"Profile Views:";"Profile Views:"
"Friends:";"Friends:"
"Share this by re-posting it with your own message.";"Share this by re-posting it with your own message."
"cancel";"cancel"
"Become a Feature Member";"Become a Feature Member"
"Create";"Create"
"It costs %s to be featured member in 1 day";"It costs %s to be featured member in 1 day"
"How many days do you want to be featured?";"How many days do you want to be featured?"
"Personal Info";"Personal Info"
"Edit My Photo";"Edit My Photo"
"Profile Style";"Profile Style"
"Edit My Places";"Edit My Places"
"Family and Relationships";"Family and Relationships"
"Add a school";"Add a school"
"Save changes";"Save changes"
"I currently study here";"I currently study here"
"I currently work here";"I currently work here"
"Schools";"Schools"
"Workplaces";"Workplaces"
"Add a living place";"Add a living place"
"Relationship";"Relationship"
"With";"With"
"Anniversary";"Anniversary"
"Save";"Save"
"Save Changes";"Save Changes"
"Save Photo";"Save Photo"
"Save Position";"Save Position"
"Cancel";"Cancel"
"Edit Photo";"Edit Photo"
"Edit Thumbnail";"Edit Thumbnail"
"Current Photo";"Current Photo"
"Choose New Photo";"Choose New Photo"
"remove photo";"remove photo"
"Reposition Cover Photo";"Reposition Cover Photo"
"Change Cover Photo";"Change Cover Photo"
"Edit Cover Photo";"Edit Cover Photo"
"Gender";"Gender"
"Age";"Age"
"Birthday Today";"Birthday Today"
"Most Reviewed Members";"Most Reviewed Members"
"Top Rated Members";"Top Rated Members"
"Would you like to add this member as a friend?";"Would you like to add this member as a friend?"

